Wind Farm,Wind Farm 2,Species,start date,end date,Season,Year,group,Scientific Name,Species for Flight Height Distribution,BirdLength,BirdLengthSD,wingspan,wingspanSD,flight speed,flightspeedSD,flight speed (alternate),Flight Mode,Nocturnal Correction,Latitude,Turbine Model,number of turbines,hub height,blades,rotor diameter,blade width,rotor speed,rotorspeedSD,rotor pitch,pitchSD,Recorded Collisions,correction for area,correction for predation,correction for efficiency,Estimated Collisions,density,Survey area,Number of birds recorded,N Hours monitoring,passage rate,total flux,width of survey area,height survey window,% flights at rotor height
Slufterdam & Distridam N2,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N2,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N2,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N2,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N2,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N2,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N2,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N3,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N3,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N3,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N3,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N3,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N3,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N3,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N3,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N3,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.08,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N4,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N4,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N4,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N4,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N4,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N4,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N4,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N4,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N4,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N5,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N5,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N5,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N5,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N5,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N5,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N5,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N5,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N5,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,2.04,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N6,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N6,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N6,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N6,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N6,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,2,1.89,1,1,3.78,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N6,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N6,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N6,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N6,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.89,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N7,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N7,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N7,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N7,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,2,1.92,1,1,3.84,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N7,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N7,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N7,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N7,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N7,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.92,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N8,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N8,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N8,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N8,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N8,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N8,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N8,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N8,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N8,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,1.79,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam N9,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam N9,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam N9,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam N9,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam N9,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,403,15,,,6250,500,0.39
Slufterdam & Distridam N9,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam N9,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam N9,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam N9,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,1.5,1,67,3,83,4.4,18,0.05,10,0.01,0,3.23,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam D1,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam D1,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam D1,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam D1,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam D1,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,2,1,1,1,2,,,403,15,,,6250,500,0.39
Slufterdam & Distridam D1,Slufterdam & Distridam,great black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus marinus,GreatBlackBackedGull,0.71,0.005,1.58,0.04,13.7,1.8,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,4,15,,,6250,500,0.62
Slufterdam & Distridam D1,Slufterdam & Distridam,sandwich tern,13/06/2012,04/07/2012,,,tern,Thalasseus sandvicensis,SandwichTern,0.38,0.005,1,0.04,12.9,0.9,10.25,flap,0,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,18,15,,,6250,500,0.12
Slufterdam & Distridam D1,Slufterdam & Distridam,common tern,13/06/2012,04/07/2012,,,tern,Sterna hirundo,CommonTern,0.33,0.005,0.88,0.04,10.9,0.9,,flap,0,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,2564,15,,,6250,500,0.12
Slufterdam & Distridam D1,Slufterdam & Distridam,little tern,13/06/2012,04/07/2012,,,tern,Sternula albifrons,CommonTern,0.23,0.005,0.52,0.04,10.9,0.9,,flap,0,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,5,15,,,6250,500,0.12
Slufterdam & Distridam D2,Slufterdam & Distridam,Mediterranean gull,13/06/2012,04/07/2012,,,small gull,Ichthyaetus melanocephalus,BlackHeadedGull,0.37,0.005,0.96,0.04,11.9,1.9,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,26,15,,,6250,500,0.26
Slufterdam & Distridam D2,Slufterdam & Distridam,black-headed gull,13/06/2012,04/07/2012,,,small gull,Chroicocephalus ridibundas,BlackHeadedGull,0.36,0.005,1.05,0.04,11.9,1.6,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,1659,15,,,6250,500,0.26
Slufterdam & Distridam D2,Slufterdam & Distridam,common gull,13/06/2012,04/07/2012,,,small gull,Larus canus,CommonGull,0.41,0.005,1.2,0.04,13.4,2.9,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,0,1,1,1,0,,,66,15,,,6250,500,0.26
Slufterdam & Distridam D2,Slufterdam & Distridam,lesser black-backed gull,13/06/2012,04/07/2012,,,large gull,Larus fuscus,LesserBlackBackedGull,0.58,0.005,1.42,0.04,13.1,1.9,10.83,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,1,1,1,1,1,,,1876,15,,,6250,500,0.62
Slufterdam & Distridam D2,Slufterdam & Distridam,herring gull,13/06/2012,04/07/2012,,,large gull,Larus argentatus,HerringGull,0.6,0.005,1.44,0.04,12.8,1.8,,flap,0.25,51.92,2,1,67,3,80,4.4,18,0.05,10,0.01,1,1,1,1,1,,,403,15,,,6250,500,0.39
